,TotalNeeded
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,8
127,8
128,8
129,7
130,7
131,7
132,7
133,7
134,7
135,7
136,7
137,6
138,6
139,6
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,3
160,3
161,3
162,3
163,3
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,6
209,6
210,6
211,6
212,6
213,6
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,4
223,4
224,4
225,4
226,4
227,4
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,10
250,10
251,13
252,13
253,13
254,13
255,13
256,13
257,13
258,12
259,12
260,11
261,10
262,10
263,10
264,10
265,10
266,10
267,10
268,10
269,10
270,10
271,9
272,9
273,9
274,18
275,18
276,18
277,17
278,17
279,17
280,17
281,16
282,16
283,16
284,16
285,16
286,16
287,16
288,16
289,16
290,15
291,15
292,14
293,14
294,14
295,14
296,14
297,14
298,14
299,14
300,14
301,13
302,13
303,13
304,13
305,12
306,12
307,12
308,12
309,12
310,11
311,11
312,11
313,11
314,11
315,10
316,10
317,10
318,10
319,10
320,10
321,10
322,10
323,10
324,9
325,9
326,8
327,8
328,8
329,8
330,8
331,8
332,8
333,8
334,8
335,8
336,8
337,8
338,8
339,8
340,8
341,8
342,7
343,7
344,7
345,7
346,7
347,7
348,7
349,7
350,7
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,7
359,7
360,7
361,7
362,7
363,7
364,6
365,6
366,6
367,6
368,6
369,5
370,5
371,5
372,5
373,5
374,5
375,4
376,4
377,4
378,4
379,4
380,4
381,4
382,4
383,3
384,3
385,3
386,3
387,2
388,2
389,2
390,2
391,2
392,2
393,10
394,10
395,10
396,15
397,15
398,15
399,15
400,14
401,14
402,14
403,13
404,13
405,13
406,12
407,11
408,11
409,11
410,11
411,11
412,11
413,11
414,11
415,10
416,10
417,10
418,10
419,10
420,10
421,10
422,10
423,10
424,10
425,10
426,19
427,27
428,27
429,26
430,26
431,25
432,24
433,24
434,24
435,23
436,23
437,23
438,23
439,23
440,23
441,22
442,21
443,21
444,21
445,20
446,20
447,20
448,20
449,20
450,18
451,18
452,18
453,18
454,18
455,18
456,18
457,18
458,17
459,17
460,17
461,17
462,17
463,17
464,16
465,23
466,23
467,23
468,22
469,22
470,21
471,20
472,20
473,20
474,20
475,20
476,20
477,19
478,19
479,19
480,19
481,19
482,19
483,19
484,19
485,19
486,19
487,19
488,18
489,16
490,16
491,16
492,16
493,15
494,15
495,14
496,14
497,14
498,13
499,13
500,12
501,12
502,12
503,12
504,12
505,12
506,12
507,12
508,11
509,11
510,10
511,10
512,10
513,10
514,10
515,9
516,9
517,9
518,9
519,9
520,9
521,9
522,8
523,13
524,13
525,13
526,12
527,12
528,12
529,12
530,12
531,12
