,TotalNeeded
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,7
40,14
41,14
42,14
43,14
44,14
45,13
46,13
47,13
48,12
49,12
50,12
51,11
52,11
53,11
54,11
55,10
56,10
57,10
58,10
59,10
60,9
61,9
62,9
63,9
64,8
65,8
66,8
67,7
68,7
69,7
70,7
71,7
72,7
73,7
74,7
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,2
151,2
152,2
153,2
154,2
155,2
156,1
157,1
158,9
159,8
160,8
161,8
162,8
163,8
164,8
165,8
166,8
167,8
168,8
169,8
170,8
171,7
172,7
173,7
174,7
175,7
176,7
177,6
178,6
179,6
180,6
181,6
182,6
183,6
184,6
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,11
329,11
330,11
331,11
332,11
333,11
334,11
335,11
336,11
337,11
338,11
339,10
340,10
341,10
342,9
343,9
344,9
345,9
346,9
347,8
348,8
349,7
350,7
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,7
359,7
360,7
361,7
362,7
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,7
372,7
373,6
374,6
375,10
376,9
377,9
378,9
379,9
380,9
381,9
382,9
383,9
384,9
385,9
386,8
387,8
388,8
389,8
390,8
391,7
392,7
393,7
394,7
395,6
396,6
397,6
398,7
399,7
400,7
401,11
402,11
403,11
404,11
405,11
406,11
407,11
408,10
409,10
410,10
411,10
412,10
413,10
414,10
415,10
416,10
417,10
418,10
419,10
420,10
421,10
422,10
423,10
424,10
425,10
426,10
427,10
428,9
429,9
430,9
431,9
432,9
433,9
434,9
435,9
436,9
437,9
438,9
439,9
440,9
441,9
442,9
443,9
444,9
445,8
446,7
447,7
448,7
449,7
450,7
451,7
452,7
453,7
454,7
455,7
456,7
457,7
458,7
459,7
460,6
461,6
462,6
463,6
464,6
465,6
466,6
467,5
468,5
469,5
470,4
471,4
472,4
473,4
474,4
475,4
476,4
477,4
478,4
479,4
480,3
481,3
482,3
483,3
484,12
485,12
486,12
487,12
488,11
489,11
490,10
491,10
492,9
493,9
494,9
495,16
496,16
497,16
498,16
499,16
500,16
501,16
502,16
503,16
504,16
505,16
506,16
507,16
508,15
509,15
510,14
511,13
512,13
513,13
514,13
515,13
516,12
517,12
518,12
519,11
520,10
521,10
522,10
523,10
524,10
525,10
526,10
527,10
528,10
529,19
530,19
531,19
