,TotalNeeded
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,9
93,9
94,9
95,9
96,9
97,9
98,9
99,9
100,9
101,9
102,8
103,8
104,8
105,8
106,8
107,8
108,8
109,8
110,8
111,7
112,7
113,7
114,7
115,7
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,10
160,10
161,8
162,8
163,8
164,7
165,7
166,7
167,7
168,7
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,6
178,6
179,6
180,6
181,6
182,6
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,10
203,10
204,9
205,9
206,8
207,8
208,8
209,8
210,7
211,9
212,9
213,9
214,9
215,9
216,9
217,9
218,10
219,10
220,10
221,10
222,10
223,10
224,10
225,10
226,10
227,10
228,9
229,9
230,9
231,9
232,9
233,9
234,8
235,13
236,13
237,13
238,13
239,13
240,12
241,11
242,11
243,11
244,15
245,15
246,15
247,15
248,15
249,15
250,15
251,15
252,15
253,15
254,14
255,14
256,14
257,14
258,13
259,13
260,13
261,13
262,13
263,13
264,13
265,13
266,13
267,13
268,13
269,13
270,13
271,13
272,12
273,12
274,12
275,12
276,12
277,12
278,12
279,12
280,12
281,12
282,10
283,10
284,10
285,10
286,10
287,10
288,10
289,9
290,9
291,9
292,9
293,9
294,9
295,8
296,8
297,8
298,8
299,8
300,8
301,7
302,7
303,7
304,7
305,6
306,6
307,14
308,18
309,18
310,17
311,17
312,17
313,17
314,16
315,16
316,16
317,16
318,16
319,16
320,18
321,18
322,18
323,17
324,17
325,17
326,17
327,15
328,15
329,15
330,15
331,13
332,13
333,13
334,13
335,13
336,13
337,13
338,13
339,12
340,12
341,12
342,12
343,12
344,11
345,11
346,11
347,11
348,10
349,10
350,10
351,10
352,10
353,10
354,10
355,10
356,10
357,9
358,9
359,9
360,7
361,7
362,7
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,7
372,6
373,6
374,13
375,13
376,13
377,13
378,13
379,12
380,11
381,10
382,10
383,10
384,10
385,10
386,10
387,9
388,9
389,9
390,9
391,8
392,8
393,12
394,12
395,12
396,12
397,12
398,12
399,12
400,12
401,11
402,11
403,11
404,11
405,11
406,11
407,11
408,10
409,9
410,9
411,9
412,9
413,9
414,9
415,9
416,8
417,8
418,8
419,8
420,8
421,8
422,8
423,8
424,8
425,8
426,8
427,7
428,7
429,7
430,7
431,7
432,7
433,7
434,7
435,7
436,7
437,7
438,7
439,7
440,7
441,6
442,6
443,6
444,6
445,6
446,6
447,6
448,6
449,6
450,6
451,6
452,6
453,6
454,6
455,6
456,6
457,6
458,6
459,6
460,6
461,6
462,6
463,6
464,6
465,6
466,6
467,6
468,6
469,6
470,6
471,6
472,6
473,6
474,6
475,5
476,5
477,5
478,5
479,5
480,5
481,5
482,5
483,5
484,5
485,4
486,4
487,4
488,4
489,4
490,4
491,4
492,4
493,4
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,3
510,3
511,3
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,3
530,3
531,2
